cik,sic,sic2
0001411690,3826,38
0001412408,7389,73
0001412502,6798,67
0001413329,2111,21
0001413447,3674,36
0001414382,3590,35
0001414953,2080,20
0001415404,4899,48
0001417663,3841,38
0001417926,3841,38
0001418121,6798,67
0001418135,2080,20
0001418819,4899,48
0001419275,8742,87
0001419612,3674,36
0001419793,3559,35
0001419951,7374,73
0001420520,3674,36
0001420800,3842,38
0001421517,3559,35
0001422143,2834,28
0001422892,4731,47
0001422930,7370,73
0001423221,3350,33
0001423902,4922,49
0001424768,3841,38
0001424929,3751,37
0001425205,2836,28
0001425287,3711,37
0001425292,2870,28
0001425355,6199,61
0001425450,3841,38
0001425627,2721,27
0001427570,2834,28
0001428336,7389,73
0001428439,4841,48
0001429260,2834,28
0001429393,3630,36
0001429764,3690,36
0001430306,2834,28
0001432133,7372,73
0001433195,7372,73
0001433270,1311,13
0001433551,5090,50
0001433607,3841,38
0001433660,3550,35
0001434070,1382,13
0001434316,2836,28
0001434588,8200,82
0001434621,6163,61
0001434728,4941,49
0001434868,2834,28
0001435064,1700,17
0001436126,8711,87
0001436208,2451,24
0001437107,4841,48
0001437226,8742,87
0001437402,2834,28
0001437578,8351,83
0001437750,6199,61
0001437925,7372,73
0001438133,3841,38
0001438231,7373,73
0001438423,3674,36
0001438472,6211,62
0001438533,2834,28
0001438943,1600,16
0001439222,2834,28
0001439264,6199,61
0001439288,3560,35
0001439725,8071,80
0001441236,2631,26
0001441683,7372,73
0001441816,7372,73
0001442145,7374,73
0001442236,4953,49
0001443863,8093,80
0001445305,7372,73
0001446847,2834,28
0001447028,2834,28
0001447362,8071,80
0001447669,7372,73
0001448431,7389,73
0001449349,3841,38
0001449792,3690,36
0001450704,4953,49
0001451505,1381,13
0001451809,3674,36
0001453593,3841,38
0001453687,2834,28
0001454938,7370,73
0001455863,6798,67
0001456189,3751,37
0001457919,1382,13
0001459200,7372,73
0001459839,3841,38
0001460329,7310,73
0001462056,7372,73
0001462223,7371,73
0001462418,7380,73
0001463000,0100,01
0001463101,3674,36
0001463972,3663,36
0001464521,3841,38
0001464790,6282,62
0001466258,3822,38
0001466593,4911,49
0001467373,7389,73
0001467623,7372,73
0001467761,3661,36
0001467858,3711,37
0001468327,5990,59
0001468328,8082,80
0001468929,3841,38
0001469367,3690,36
0001469443,1311,13
0001471727,2080,20
0001473334,2510,25
0001473490,5960,59
0001474098,6798,67
0001474167,5122,51
0001474432,3572,35
0001474735,3621,36
0001474903,7363,73
0001476045,6798,67
0001476840,7372,73
0001477294,3823,38
0001477333,7372,73
0001477449,8011,80
0001477720,7372,73
0001477815,5812,58
0001478242,8731,87
0001478320,2836,28
0001479615,2834,28
0001479681,7389,73
0001481582,5051,50
0001481792,2750,27
0001482554,7374,73
0001484612,3845,38
0001484769,7812,78
0001484778,5961,59
0001486159,1311,13
0001486957,3510,35
0001487197,2030,20
0001487952,3670,36
0001488139,1700,17
0001488917,3845,38
0001489393,2860,28
0001489874,0700,07
0001489993,3841,38
0001490281,7311,73
0001490978,2834,28
0001492422,2834,28
0001492691,4213,42
0001493137,3826,38
0001493594,3674,36
0001493761,3669,36
0001494259,7374,73
0001494558,8200,82
0001494582,6510,65
0001494891,3841,38
0001495231,7310,73
0001495320,3100,31
0001495932,6531,65
0001496443,7389,73
0001497645,6798,67
0001498828,6798,67
0001499200,4924,49
0001499832,4832,48
0001500198,3841,38
0001500217,6798,67
0001500412,3674,36
0001500435,3861,38
0001500881,1090,10
0001501585,3730,37
0001501697,2836,28
0001501989,2834,28
0001502292,6331,63
0001502557,8200,82
0001503274,3826,38
0001503802,2834,28
0001504776,3851,38
0001505155,7372,73
0001505497,8090,80
0001505952,7372,73
0001506293,7370,73
0001506307,4922,49
0001506492,3845,38
0001506929,1040,10
0001507079,5211,52
0001507605,6199,61
0001510295,2911,29
0001510964,2834,28
0001511737,3663,36
0001511820,5122,51
0001512673,7372,73
0001514183,2834,28
0001514416,7372,73
0001514443,7381,73
0001514705,3312,33
0001514991,4841,48
0001515139,7389,73
0001515673,2834,28
0001517022,2834,28
0001517175,5141,51
0001517228,3663,36
0001517302,6282,62
0001517375,7372,73
0001518461,3669,36
0001519061,2821,28
0001519472,1700,17
0001519751,2430,24
0001520006,1311,13
0001520118,6199,61
0001520262,2834,28
0001520358,2013,20
0001521036,2835,28
0001521332,3714,37
0001522540,7372,73
0001522727,4922,49
0001522767,2833,28
0001524025,5600,56
0001524472,3561,35
0001525221,4522,45
0001525306,5065,50
0001525769,5812,58
0001526113,6798,67
0001526520,7370,73
0001527352,3845,38
0001527541,6798,67
0001527702,4813,48
0001527753,8071,80
0001527762,6199,61
0001528287,3841,38
0001528356,4931,49
0001528396,7372,73
0001529113,7371,73
0001529628,1400,14
0001529864,6141,61
0001530804,2810,28
0001530950,2040,20
0001530979,5961,59
0001531152,5331,53
0001531177,3841,38
0001532286,1389,13
0001533758,4899,48
0001533924,1311,13
0001534154,7372,73
0001534504,2911,29
0001534525,2834,28
0001534675,3211,32
0001534708,6162,61
0001534969,8071,80
0001535955,2834,28
0001537054,4899,48
0001537435,3585,35
0001538379,7310,73
0001539838,1311,13
0001540684,1400,14
0001541401,6798,67
0001542447,6798,67
0001543151,7389,73
0001544522,7372,73
0001546296,7370,73
0001546417,5812,58
0001546853,7372,73
0001547459,5411,54
0001549346,7374,73
0001549595,2834,28
0001549966,6282,62
0001550913,6798,67
0001551152,2834,28
0001551306,8090,80
0001552000,4610,46
0001552033,7320,73
0001552275,2911,29
0001552797,4610,46
0001553079,6798,67
0001553788,2080,20
0001555017,8741,87
0001555279,3826,38
0001556739,7310,73
0001557376,2836,28
0001557746,2834,28
0001557798,3576,35
0001558569,8731,87
0001559053,2834,28
0001559432,1311,13
0001559720,7340,73
0001559865,7374,73
0001560258,3845,38
0001560293,3841,38
0001560327,7372,73
0001560385,4833,48
0001561032,6798,67
0001561550,7372,73
0001561680,1531,15
0001561921,3841,38
0001562088,7372,73
0001562151,2080,20
0001562733,2833,28
0001563190,6531,65
0001563665,3841,38
0001563922,4911,49
0001564408,7370,73
0001564902,7990,79
0001565687,7372,73
0001566011,2911,29
0001566044,2834,28
0001566610,6199,61
0001566826,3842,38
0001567683,4911,49
0001568100,7372,73
0001568385,7371,73
0001568651,6324,63
0001569187,6500,65
0001569345,7372,73
0001570562,2834,28
0001570585,4841,48
0001570827,6282,62
0001570937,3841,38
0001571123,7373,73
0001571949,6200,62
0001571996,3571,35
0001573221,5900,59
0001574085,6798,67
0001574094,2834,28
0001575515,5411,54
0001575828,1389,13
0001575965,6798,67
0001576280,8071,80
0001576427,7311,73
0001576873,1400,14
0001576942,5961,59
0001577445,7373,73
0001578732,6531,65
0001579091,7389,73
0001579157,5600,56
0001579214,7389,73
0001579241,7381,73
0001579428,2834,28
0001579733,2000,20
0001579877,6798,67
0001579878,7372,73
0001580560,7389,73
0001580670,1531,15
0001580808,3576,35
0001580905,1520,15
0001581091,6531,65
0001581552,1311,13
0001581760,7374,73
0001581990,4610,46
0001582961,7370,73
0001582982,7372,73
0001583107,2834,28
0001583708,7372,73
0001584549,0100,01
0001585364,2834,28
0001585389,6798,67
0001585521,7370,73
0001585608,2834,28
0001585689,7011,70
0001587523,3651,36
0001588014,7310,73
0001588978,3841,38
0001589149,5051,50
0001589150,2834,28
0001589526,3713,37
0001590418,3823,38
0001590560,2834,28
0001590584,7000,70
0001590714,2890,28
0001590877,2836,28
0001590895,7011,70
0001590955,7372,73
0001590976,3730,37
0001591698,7372,73
0001591890,6199,61
0001591956,6199,61
0001593001,3590,35
0001593184,7370,73
0001593549,7372,73
0001594805,7372,73
0001595974,7370,73
0001596532,3576,35
0001596961,7371,73
0001596993,4412,44
0001597033,7370,73
0001597672,2611,26
0001597846,8742,87
0001598665,6331,63
0001598981,3640,36
0001599117,6799,67
0001599407,8742,87
0001599617,3533,35
0001600222,8200,82
0001600347,8742,87
0001600620,2834,28
0001600626,6798,67
0001600641,5961,59
0001600983,3669,36
0001601046,3823,38
0001601548,8744,87
0001601830,2836,28
0001603015,7372,73
0001603145,4911,49
0001604464,2836,28
0001604665,2860,28
0001604821,8071,80
0001604868,5200,52
0001605331,6794,67
0001605888,7363,73
0001606163,1700,17
0001606268,4931,49
0001606498,3842,38
0001606757,3672,36
0001606909,4412,44
0001607962,3842,38
0001609151,7372,73
0001609253,1311,13
0001609550,3841,38
0001609711,7373,73
0001609804,2890,28
0001610853,6199,61
0001611046,7000,70
0001611052,7372,73
0001611115,8000,80
0001611647,2040,20
0001613780,2836,28
0001614178,7374,73
0001615063,7372,73
0001615165,7374,73
0001616000,7011,70
0001616533,3674,36
0001616543,3823,38
0001616707,5961,59
0001616862,2851,28
0001617406,7011,70
0001617553,7370,73
0001617640,7389,73
0001618732,7372,73
0001618755,5812,58
0001618756,5812,58
0001618835,2834,28
0001619856,2836,28
0001620393,6798,67
0001620533,5810,58
0001621434,1311,13
0001621906,1090,10
0001622345,3690,36
0001622536,4911,49
0001623526,2834,28
0001623925,4922,49
0001624326,3841,38
0001624512,8200,82
0001625278,7374,73
0001625297,2834,28
0001625641,7372,73
0001625941,6798,67
0001626450,7372,73
0001627475,7374,73
0001628369,6500,65
0001628808,3841,38
0001628908,8741,87
0001630627,3841,38
0001630805,3433,34
0001631574,2834,28
0001632970,6798,67
0001633369,7374,73
0001633917,7389,73
0001633931,1700,17
0001635077,8071,80
0001636222,5812,58
0001636422,7370,73
0001636519,7990,79
0001637147,7372,73
0001637207,7997,79
0001637757,4911,49
0001637873,7389,73
0001637880,4911,49
0001638290,3730,37
0001638826,7372,73
0001639068,6510,65
0001639300,5331,53
0001639438,5812,58
0001639691,3845,38
0001639723,7372,73
0001639825,3949,39
0001640147,7372,73
0001640266,2836,28
0001640384,6199,61
0001640428,7370,73
0001640967,6798,67
0001641281,2834,28
0001641614,2750,27
0001642380,2835,28
0001642896,7373,73
0001643154,0100,01
0001643303,3672,36
0001643615,8742,87
0001643721,8742,87
0001643953,2510,25
0001644378,8742,87
0001644903,2844,28
0001645113,3841,38
0001645460,2834,28
0001645590,3570,35
0001645873,6798,67
0001646188,3663,36
0001647088,7350,73
0001647639,6199,61
0001648087,3490,34
0001648960,4822,48
0001649744,5600,56
0001649904,2834,28
0001650164,7374,73
0001650372,7372,73
0001650648,2836,28
0001650664,2836,28
0001650696,2000,20
0001650729,5040,50
0001651308,2834,28
0001651562,7372,73
0001651721,6798,67
0001652044,7370,73
0001652130,2835,28
0001652535,3674,36
0001653087,2836,28
0001653482,7372,73
0001653558,7389,73
0001653653,7011,70
0001655210,2000,20
0001655759,2834,28
0001655923,2836,28
0001656472,2833,28
0001657214,6552,65
0001657573,7389,73
0001657788,1311,13
0001658247,2834,28
0001658566,1311,13
0001659166,3823,38
0001660134,7372,73
0001660280,7372,73
0001660334,2834,28
0001660734,7359,73
0001661181,2834,28
0001661458,6798,67
0001661779,6199,61
0001662579,2836,28
0001662684,3670,36
0001662972,6798,67
0001662991,7389,73
0001664703,3620,36
0001664710,2834,28
0001665300,7374,73
0001665918,5140,51
0001665988,3841,38
0001666071,7370,73
0001666134,7372,73
0001666138,3690,36
0001667011,3674,36
0001667313,7372,73
0001668010,5600,56
0001668243,2834,28
0001668397,8731,87
0001669779,5500,55
0001669811,7380,73
0001670076,4512,45
0001670592,3949,39
0001671858,2834,28
0001671927,2836,28
0001671933,7370,73
0001672013,3949,39
0001673358,5812,58
0001673743,7374,73
0001674101,3679,36
0001674227,7374,73
0001674335,2430,24
0001674356,6798,67
0001674416,2836,28
0001674632,3841,38
0001674862,5160,51
0001674910,2990,29
0001674930,8071,80
0001676047,3842,38
0001676163,3841,38
0001676238,7372,73
0001677576,6500,65
0001679049,4400,44
0001679268,1389,13
0001679788,6199,61
0001680062,3559,35
0001680247,1389,13
0001680378,2870,28
0001680873,5140,51
0001681459,3533,35
0001681622,3679,36
0001682149,7389,73
0001682265,7310,73
0001682639,2834,28
0001682745,4700,47
0001682852,2836,28
0001683606,7374,73
0001684144,2834,28
0001687932,2330,23
0001688126,7374,73
0001688757,3842,38
0001689375,2834,28
0001690680,6531,65
0001690820,5500,55
0001692063,4213,42
0001692415,3841,38
0001692427,1389,13
0001692787,4922,49
0001692819,4911,49
0001692951,6798,67
0001693256,1389,13
0001693317,4924,49
0001693736,7359,73
0001694028,1389,13
0001694426,2911,29
0001695963,6162,61
0001696088,1311,13
0001696556,2000,20
0001697500,3533,35
0001698514,1389,13
0001698538,6798,67
0001698990,1311,13
0001699031,8071,80
0001699039,1389,13
0001699136,3533,35
0001699150,3560,35
0001699350,3841,38
0001701108,2834,28
0001701758,5712,57
0001701963,7374,73
0001702744,2000,20
0001702780,4841,48
0001702924,3480,34
0001703056,7381,73
0001703057,2834,28
0001703956,1700,17
0001704292,2834,28
0001704711,3944,39
0001704715,1221,12
0001704720,5810,58
0001705110,7310,73
0001705843,2870,28
0001706946,4700,47
0001707910,5812,58
0001707919,3711,37
0001707925,2810,28
0001708035,2800,28
0001708055,7373,73
0001708341,7900,79
0001709164,3634,36
0001709628,7370,73
0001709682,7359,73
0001709941,2834,28
0001710155,3851,38
0001710340,2834,28
0001710350,6199,61
0001710366,1220,12
0001711141,2833,28
0001711269,4931,49
0001711279,2836,28
0001711799,6798,67
0001711929,6798,67
0001712189,7000,70
0001712463,2670,26
0001712762,8731,87
0001713210,8000,80
0001713407,6798,67
0001713445,7374,73
0001713683,7371,73
0001713863,2834,28
0001714562,7900,79
0001716166,3841,38
0001716621,3841,38
0001716947,2834,28
0001717115,7370,73
0001718224,5812,58
0001718227,1600,16
0001718500,2844,28
0001718512,3560,35
0001718939,7372,73
0001720116,7372,73
0001720420,7374,73
0001720592,7389,73
0001720635,3550,35
0001720893,2834,28
0001721484,2834,28
0001722482,3826,38
0001722684,7011,70
0001722731,7372,73
0001723059,2834,28
0001723128,2834,28
0001724521,2834,28
0001724965,1311,13
0001725255,8082,80
0001725430,3841,38
0001726445,3826,38
0001726711,2834,28
0001726978,6411,64
0001728117,2834,28
0001728688,7372,73
0001728951,6798,67
0001729149,8090,80
0001729637,2844,28
0001730168,3674,36
0001730430,2834,28
0001730463,2836,28
0001730773,2092,20
0001731348,2833,28
0001733998,4924,49
0001734722,7372,73
0001734750,7374,73
0001735041,3560,35
0001735438,2836,28
0001736297,3674,36
0001736730,2834,28
0001737523,8071,80
0001737706,1381,13
0001738177,3663,36
0001738827,1389,13
0001739410,2834,28
0001739445,3440,34
0001739566,2090,20
0001739940,6324,63
0001740332,5072,50
0001740604,6199,61
0001740742,7372,73
0001741489,8742,87
0001743725,7372,73
0001743745,5099,50
0001743759,3577,35
0001743881,2834,28
0001743907,4512,45
0001744489,7990,79
0001745999,2836,28
0001746618,5961,59
0001747079,7011,70
0001748137,3690,36
0001748790,3990,39
0001748824,6282,62
0001749723,4924,49
0001750106,6500,65
0001750155,0100,01
0001750704,7374,73
0001751008,7370,73
0001753162,6531,65
0001753539,3663,36
0001754170,5080,50
0001754195,2833,28
0001755101,5531,55
0001755347,7812,78
0001755953,6199,61
0001756064,4899,48
0001756262,3845,38
0001756390,2833,28
0001757073,3843,38
0001757715,3634,36
0001758009,7372,73
0001758021,3089,30
0001758488,7997,79
0001758730,6200,62
0001758766,7373,73
0001759186,6199,61
0001759425,2834,28
0001759509,7389,73
0001759631,3713,37
0001759774,6798,67
0001759824,5084,50
0001760026,5990,59
0001760233,5961,59
0001760689,3690,36
0001760965,2320,23
0001761612,2834,28
0001762303,3841,38
0001763925,1311,13
0001764046,7374,73
0001766368,3460,34
0001766400,8000,80
0001766502,5961,59
0001767042,4922,49
0001767258,3470,34
0001768224,2834,28
0001768267,7372,73
0001769624,6282,62
0001769628,7372,73
0001770501,7900,79
0001770787,3826,38
0001771514,6798,67
0001771515,5411,54
0001771706,2834,28
0001771910,2834,28
0001772016,2000,20
0001772177,5812,58
0001772720,4911,49
0001772921,5531,55
0001773751,8011,80
0001774675,7372,73
0001775194,6199,61
0001776661,7389,73
0001776909,7812,78
0001777319,8742,87
0001777393,3690,36
0001777835,6199,61
0001777921,7372,73
0001778129,0100,01
0001779128,8000,80
0001779474,7372,73
0001780201,5961,59
0001781162,3760,37
0001781335,3600,36
0001781755,6411,64
0001782107,2834,28
0001782170,7389,73
0001782430,6798,67
0001783180,3585,35
0001783183,2834,28
0001783328,2836,28
0001784058,7500,75
0001784254,4832,48
0001784440,7374,73
0001784535,7372,73
0001784570,3721,37
0001785056,3600,36
0001785279,2836,28
0001785424,7359,73
0001786117,6798,67
0001786352,7372,73
0001786842,3824,38
0001787306,2834,28
0001788060,3760,37
0001788230,2080,20
0001788451,6411,64
0001788882,6331,63
0001788999,7372,73
0001789029,3714,37
0001789832,1311,13
0001789940,5812,58
0001790169,5122,51
0001792044,2834,28
0001792580,1311,13
0001792781,5600,56
0001792789,7389,73
0001792849,1381,13
0001793229,7389,73
0001793659,7990,79
0001794515,7372,73
0001794669,7389,73
0001794783,6411,64
0001795139,0100,01
0001795250,7900,79
0001795586,6199,61
0001796209,7340,73
0001799191,8011,80
0001799448,2836,28
0001800227,7370,73
0001800637,0700,07
0001800667,7372,73
0001801169,6531,65
0001801170,6324,63
0001801368,1000,10
0001801602,7371,73
0001801661,7374,73
0001802156,7990,79
0001802255,5912,59
0001802457,2860,28
0001802665,2834,28
0001802768,2834,28
0001802974,0700,07
0001803599,7389,73
0001803696,4841,48
0001803737,8082,80
0001803901,8000,80
0001803914,5900,59
0001803977,7990,79
0001804176,3844,38
0001804745,7500,75
0001805077,3690,36
0001805385,3577,35
0001805521,3711,37
0001805526,6199,61
0001805651,7372,73
0001805833,7370,73
0001806201,6141,61
0001806347,2080,20
0001806837,7372,73
0001806952,2834,28
0001807166,7372,73
0001807616,7011,70
0001807887,3690,36
0001808665,2834,28
0001808834,7359,73
0001809104,7389,73
0001809519,7374,73
0001809750,0100,01
0001809987,3829,38
0001810019,7370,73
0001810806,7372,73
0001811063,2834,28
0001811074,6792,67
0001811210,3711,37
0001811935,5961,59
0001812360,8731,87
0001812364,2836,28
0001812477,6199,61
0001812727,6411,64
0001814114,3841,38
0001814287,6282,62
0001815442,2836,28
0001816017,4899,48
0001816431,3829,38
0001816581,3569,35
0001816708,3829,38
0001816937,1520,15
0001817004,5500,55
0001817358,5940,59
0001817760,3674,36
0001818093,3841,38
0001818331,8000,80
0001818382,2836,28
0001818383,7389,73
0001818643,1311,13
0001818644,3714,37
0001819142,3690,36
0001819253,2833,28
0001819404,8200,82
0001819438,3690,36
0001819493,3714,37
0001819516,4522,45
0001819576,2834,28
0001819790,2836,28
0001819796,6282,62
0001819810,3760,37
0001819928,7370,73
0001819974,3674,36
0001819989,6199,61
0001819994,3760,37
0001820144,7370,73
0001820190,2836,28
0001820721,3674,36
0001820872,4700,47
0001820875,7372,73
0001820953,6141,61
0001821159,7500,75
0001821175,7372,73
0001821769,3674,36
0001821806,5990,59
0001822359,8000,80
0001822462,2834,28
0001822492,3420,34
0001822791,2834,28
0001822928,3714,37
0001822966,3443,34
0001823239,2834,28
0001823466,7389,73
0001823584,5099,50
0001823587,6500,65
0001823878,7372,73
0001824893,2836,28
0001824920,7373,73
0001825024,6531,65
0001825079,3559,35
0001825452,7374,73
0001826000,5072,50
0001826011,7372,73
0001826397,6199,61
0001826470,5990,59
0001826600,4932,49
0001826660,3577,35
0001826667,3841,38
0001826681,7372,73
0001826889,5960,59
0001827090,7372,73
0001828016,7374,73
0001828161,3674,36
0001828318,3690,36
0001828536,3690,36
0001828748,7389,73
0001828791,7370,73
0001828805,3674,36
0001828962,3559,35
0001828972,4899,48
0001829280,7374,73
0001829311,6199,61
0001829794,6199,61
0001829864,7374,73
0001830033,2821,28
0001830043,7370,73
0001830072,5200,52
0001830081,7370,73
0001830214,2836,28
0001831096,7372,73
0001831097,8090,80
0001831651,3674,36
0001831868,3841,38
0001831915,3826,38
0001832038,2836,28
0001832161,5900,59
0001832332,8082,80
0001832466,6324,63
0001832483,3569,35
0001832511,8000,80
0001833197,3089,30
0001833498,3841,38
0001833756,3812,38
0001833769,3845,38
0001833835,7389,73
0001834376,8000,80
0001834488,7372,73
0001834584,5961,59
0001834622,3580,35
0001835022,2834,28
0001835632,3674,36
0001835830,7372,73
0001836754,8200,82
0001836833,3663,36
0001836875,3690,36
0001836981,7372,73
0001837014,7373,73
0001837240,3569,35
0001837254,2833,28
0001838163,7373,73
0001838406,1311,13
0001838615,6282,62
0001838987,1700,17
0001839285,7373,73
0001839341,6199,61
0001839530,7389,73
0001839839,3442,34
0001840102,7311,73
0001840233,2834,28
0001840317,7373,73
0001840425,3841,38
0001840502,7370,73
0001840572,7900,79
0001840780,0100,01
0001840877,3842,38
0001841156,7389,73
0001841761,5961,59
0001841925,3674,36
0001841968,6282,62
0001842022,4922,49
0001842279,4932,49
0001842566,7372,73
0001842939,2840,28
0001843656,6794,67
0001843724,2860,28
0001843973,4522,45
0001844392,8090,80
0001844452,3812,38
0001844505,3845,38
0001844862,3690,36
0001844971,6199,61
0001845123,1311,13
0001845257,8000,80
0001845815,7389,73
0001846069,7370,73
0001846084,4512,45
0001846253,8731,87
0001846576,2300,23
0001847064,7310,73
0001847367,2834,28
0001847590,8742,87
0001847986,3690,36
0001848334,1311,13
0001848416,0100,01
0001849253,6411,64
0001849380,8731,87
0001849635,7370,73
0001849820,3569,35
0001850902,2835,28
0001851003,7372,73
0001851491,2080,20
0001851961,3674,36
0001852244,4700,47
0001852575,6798,67
0001852973,2000,20
0001853070,4522,45
0001853145,7372,73
0001853513,7500,75
0001853825,7374,73
0001853962,1040,10
0001854139,2086,20
0001854445,7371,73
0001854963,6199,61
0001854964,6798,67
0001855447,3674,36
0001855457,4899,48
0001855467,3674,36
0001855509,3730,37
0001855747,7370,73
0001856314,7372,73
0001856437,5621,56
0001856485,2621,26
0001856525,5099,50
0001856725,2834,28
0001857086,3949,39
0001857154,5400,54
0001857475,0100,01
0001857816,5961,59
0001857853,3630,36
0001858685,2834,28
0001859199,6500,65
0001860160,3760,37
0001860543,3842,38
0001860742,3851,38
0001861107,3845,38
0001861622,4522,45
0001861795,7372,73
0001863990,3827,38
0001864531,8000,80
0001864943,3430,34
0001865107,5961,59
0001865200,7812,78
0001865506,1700,17
0001865631,3812,38
0001865782,8082,80
0001866175,1311,13
0001866368,7372,73
0001866581,5810,58
0001866633,7372,73
0001866757,3910,39
0001866816,3827,38
0001867066,2834,28
0001867096,2834,28
0001868159,6798,67
0001868275,4911,49
0001868419,7371,73
0001868726,2844,28
0001869198,7997,79
0001870144,2835,28
0001870600,3949,39
0001870940,8011,80
0001871509,5812,58
0001871638,3674,36
0001872525,7311,73
0001872789,3841,38
0001873213,8200,82
0001873529,8351,83
0001873722,7370,73
0001873951,7372,73
0001874097,7371,73
0001874178,3711,37
0001874315,3663,36
0001874875,5961,59
0001875444,5712,57
0001876042,6199,61
0001877322,3569,35
0001877939,8742,87
0001878848,6199,61
0001878897,6531,65
0001879016,1000,10
0001879293,3567,35
0001879726,4812,48
0001880319,2800,28
0001880343,5961,59
0001880613,7310,73
0001881487,1389,13
0001882781,6199,61
0001882850,6798,67
0001883085,6199,61
0001883313,5900,59
0001883685,7990,79
0001883814,1600,16
0001884164,7374,73
0001886362,7900,79
0001886894,7372,73
0001887944,1600,16
0001888447,4924,49
0001891027,7310,73
0001891101,2080,20
0001891856,5812,58
0001892316,8000,80
0001892322,7374,73
0001892492,6153,61
0001893262,6798,67
0001894954,3690,36
0001895249,1700,17
0001895262,1381,13
0001895618,7372,73
0001897762,5045,50
0001898496,7389,73
0001898718,4700,47
0001898766,1311,13
0001898795,3751,37
0001899287,3690,36
0001901203,2000,20
0001901440,8734,87
0001902314,3679,36
0001902733,7372,73
0001903508,8742,87
0001905956,7389,73
0001906324,2835,28
0001907982,7374,73
0001909747,2833,28
0001910139,7372,73
0001914496,6798,67
0001915657,4610,46
0001918080,4953,49
0001920406,6199,61
0001921865,2890,28
0001921963,3714,37
0001922335,7361,73
0001922446,1311,13
0001923780,3089,30
0001927958,3721,37
0001928446,1311,13
0001929017,6500,65
0001929561,4700,47
0001930313,8011,80
0001932393,3844,38
0001933567,3845,38
0001934245,3949,39
0001935799,7011,70
0001936258,2834,28
0001936804,7500,75
0001937653,2834,28
0001937891,5700,57
0001937987,7990,79
0001938046,8090,80
0001938109,6199,61
0001938338,4813,48
0001940243,6199,61
0001941365,2511,25
0001943289,7372,73
0001943896,7372,73
0001944013,3490,34
0001944048,2844,28
0001944558,1311,13
0001945619,6770,67
0001946563,2834,28
0001946573,6199,61
0001947210,7900,79
0001947861,3523,35
0001948455,2111,21
0001948864,5411,54
0001951667,5010,50
0001952073,7990,79
0001952853,3790,37
0001953988,3760,37
0001955520,1400,14
0001956741,2842,28
0001956744,6199,61
0001956955,3663,36
0001957132,3630,36
0001958086,1389,13
0001958140,7900,79
0001959023,4953,49
0001960355,7372,73
0001960847,4210,42
0001961847,5990,59
0001962481,2000,20
0001963088,6199,61
0001963685,3569,35
0001964738,3841,38
0001964789,6199,61
0001964979,3841,38
0001965040,8071,80
0001965052,6199,61
0001967649,5190,51
0001967680,3825,38
0001968487,3310,33
0001968915,3714,37
0001971213,4833,48
0001972234,3590,35
0001972529,4220,42
0001973062,7372,73
0001973266,7900,79
0001974138,3578,35
0001976900,8200,82
0001978111,8000,80
0001980088,1311,13
0001981535,6199,61
0001981599,4923,49
0001981792,6798,67
0001983736,7370,73
0001984060,1311,13
0001984086,2834,28
0001985554,7371,73
0001990354,7373,73
0001992243,3674,36
0001993004,4931,49
0001994214,7900,79
0001994373,7374,73
0001995807,6792,67
0001995920,7371,73
0001996192,4731,47
0001996810,3600,36
0001997859,2741,27
0001999001,7900,79
0001999261,7374,73
0002000178,3728,37
0002001184,8051,80
0002001557,6770,67
0002003750,4700,47
0002005951,2650,26
0002007596,6411,64
0002007825,7374,73
0002007855,4924,49
0002009312,7997,79
0002009684,7990,79
0002010982,7374,73
0002011134,8741,87
0002011208,3842,38
0002011286,7389,73
0002011514,3842,38
0002011641,5070,50
0002012383,6211,62
0002013745,2911,29
0002013807,3576,35
0002014596,8093,80
0002015845,1531,15
0002016167,7372,73
0002017206,6500,65
0002017758,6531,65
0002018064,4822,48
0002019410,8071,80
0002020795,4813,48
0002021728,3674,36
0002022308,8200,82
0002022626,2834,28
0002023554,3572,35
0002024306,1540,15
0002025410,3724,37
0002026053,6282,62
0002026478,4833,48
0002028336,1311,13
0002028707,7373,73
0002029014,7380,73
0002029118,1311,13
0002030763,5122,51
0002030781,7372,73
0002030954,7389,73
0002032341,7372,73
0002032545,7389,73
0002032609,2844,28
0002032966,7389,73
0002033383,7373,73
0002033770,7373,73
0002034288,8200,82
0002035149,3533,35
0002035832,2834,28
0002035989,3241,32
0002038118,4911,49
0002039497,6199,61
0002040127,3728,37
0002041385,3823,38
0002041610,4833,48
0002042022,6199,61
0002042694,2080,20
0002046042,6153,61
0002046386,3841,38
0002048519,3531,35
0002050338,6500,65
0002051380,5940,59
0002052568,1700,17
0002053641,4210,42
0002054696,7370,73
0002055592,6199,61
0002057381,7374,73
0002057463,4841,48
0002063196,7372,73
0002063863,4899,48
0002064124,6163,61
0002064307,1400,14
0002064947,1389,13
0002065708,7389,73
0002067129,6411,64
0002067767,3730,37
0002067876,4833,48
0002068385,7374,73
0002068577,5810,58
0002069604,8090,80
0002069785,7374,73
0002070849,8071,80
0002071288,8071,80
0002074176,1311,13
0002076148,7389,73
0002077709,7372,73
0002078008,3714,37
0002078416,7900,79
0002079720,2080,20
0002080126,3620,36
0002081043,2834,28
0002083632,7372,73
0002085187,5712,57
0002086587,3760,37
0002088896,3443,34
0002089661,2911,29
0002093101,2834,28
0002093536,3728,37
0002097163,3571,35
0002100782,2834,28
0002101698,3490,34
0002104052,4953,49
