cik,net_income,net_income_prior,revenue,total_assets,stockholders_equity,total_liabilities
949870,24412000,,453867000,1240224000,897010000,343214000
949961,989000,1113000,,122921000,122916000,
1000209,12014000,,,2847738000,380224000,2398726000
1000228,110000000,,,10480000000,3310000000,5761000000
1000230,-697922,-1107431,,39073224,19115548,19957676
1000623,-425500000,,,2052300000,428200000,1624100000
1000694,518646000,,666655000,1292992000,-75643000,1368635000
1000697,121000000,,662000000,4591576000,1962000000,2629179000
1000753,51000000,,,2143000000,119000000,
1001082,-189529000,,,44292079000,4786449000,39061424000
1001171,-2689000,1311000,,1258776000,283566000,974994000
1001233,-30597000,,,86166000,4906000,81260000
1001250,159000000,-590000000,,19886000000,4345000000,
1001316,5060000,,,656689000,237289000,419400000
1001385,3964000,,,582234000,378456000,203778000
1001614,28633000,,,994944000,532383000,462561000
1001907,-3633000,-4009000,,27492000,24752000,2740000
1002590,85911000,32884000,,1059466000,,
1002638,92805000,229862000,,13754826000,4128738000,
1004434,72400000,,,8714100000,3188200000,4249000000
1004702,21509000,,,13309278000,1708322000,11600161000
1004989,462000,,,70164000,24706000,45458000
1005101,-1012000,-1747000,,33469000,24276000,9193000
1005284,64444000,,166277000,1864487000,1659332000,205155000
1005286,-14769000,-6571000,,237693000,2221000,190267000
1005731,21692000,20269000,301985000,600908000,286163000,290057000
1005757,16130000,,,1419004000,,1135909000
1005817,19679000,,,8199653000,,7458276000
1006028,-580000,-798000,489000,1057000,-4814000,5871000
1006045,-1686000,,,34236000,852000,27384000
1006281,-3619000,,10113000,73892000,45208000,28684000
1006655,-2179000,-1825000,,156394000,71660000,84734000
1006830,1851000,2287000,,1133769000,73457000,1060312000
1006837,-24500000,,274200000,868000000,-204200000,1036900000
1007587,-1710000,,,151434000,137811000,13623000
1009829,-2382000,,,405871000,234526000,170845000
1009891,-988000,,12135000,48388000,15289000,33099000
1009919,-31377,,0,3750,-39951,43701
1010086,-408223,,,247067209,216132627,30934582
1010470,1857000,872000,,1260180000,128875000,1131305000
1012019,60322000,,1850830000,4687941000,2166936000,
1012100,113500000,,1272500000,7049200000,797900000,6251300000
1012477,-4920000,,,167949000,74070000,93879000
1013272,5773000,,,2376044000,220707000,2155337000
1013488,13492000,,,1019847000,371481000,648366000
1013857,85422000,,,1321950000,611269000,710681000
1013871,750000000,,8585000000,24991000000,,22214000000
1013880,1384000,,,1726236000,,1444730000
1013934,29744000,,,2074213000,1643314000,430899000
1014473,199300000,,402300000,1447700000,-1977000000,3424700000
1014739,46742000,,1332972000,3308513000,1350834000,1957679000
1014763,-3286022,,106207,26353076,13121652,13231424
1015328,189039000,,,65870066000,6600537000,59269529000
1015739,-1598000,,,39895000,29469000,
1016281,20926000,,,1275229000,223062000,1052167000
1016504,611000,116000,,25656000,20383000,5273000
1017303,19000,-7957000,,44164000,30941000,13223000
1017655,-148773,,,7845324,4832592,3012732
1018164,16869000,,157732000,3274633000,565488000,2645953000
1018281,-191758,-174552,0,11173,-7494796,7505969
1018724,17127000000,,,643256000000,305867000000,
1018840,80413000,,1097311000,3096176000,1189126000,
1018963,97000000,,,5184000000,1872800000,3201700000
1018979,8949000,,72597000,1156717000,260813000,895904000
1019034,-736545,,,11183676,7527053,3656623
1019849,257700000,249300000,,16931900000,5394700000,11519200000
1020214,-7717000,,,206776000,55492000,150534000
1020710,20589000,,,1382512000,444659000,937853000
1020859,-7000000,-3000000,,7617000000,1625000000,5993000000
1021561,107515000,,,1391411000,753969000,637442000
1021635,62700000,,747700000,13953200000,4615700000,9337500000
1021860,73000000,,,11273000000,6440000000,4779000000
1021917,-573965,-813835,,17232270,5864210,11368060
1022079,220000000,,,15797000000,6929000000,
1022321,-469075000,,,5211859000,,4471727000
1022652,-1570000,,,92996000,-12995000,105991000
1022671,217151000,,,15930428000,8824710000,7096534000
1022899,-1440005,-850287,0,89093,-4952959,5042052
1023024,15681000,,,1292428000,418620000,848958000
1023128,209500000,,,23480200000,6757800000,16698000000
1023313,-87272000,,,439806000,147434000,292372000
1023994,-2746668,,566354,49165227,,28088840
1024305,-405700000,23700000,,11470500000,3495000000,7551000000
1024795,7300000,,,1526300000,881200000,645100000
1025378,125824000,,409858000,17307305000,8362363000,8940382000
1025771,-14507,,0,284031,279730,
1025835,49961000,,,15676594000,1868073000,13808521000
1026655,2183000,-39000,,223591000,149873000,73718000
1027838,-2974000,,,280242000,205631000,74611000
1029142,-96099000,,,945928000,530941000,414987000
1029199,38400000,,915500000,6053500000,1302200000,4751800000
1030192,1608979,,7278536,48067150,39789490,5564912
1030469,45572000,,,11729257000,1295361000,10433896000
1030894,86200000,,,5834900000,1556800000,4278100000
1031203,128100000,,,9887000000,2992500000,
1031235,555152,,3126304,65139599,47274839,17864760
1031296,360000000,,3765000000,52771000000,12567000000,38909000000
1031308,91368000,,,3402934000,1097582000,2305245000
1031623,3827000,,,138162000,96705000,41457000
1032033,304540000,,,28899184000,2400856000,26498328000
1032208,917000000,,,99010000000,31643000000,
1034054,220732000,173629000,664248000,10442917000,-4970703000,
1034670,167000000,,,8114000000,2351000000,
1034760,-724063,,33510039,71363856,12965659,58398197
1034842,11446000,,,175972000,18567000,157405000
1035002,-595000000,,,59177000000,23490000000,
1035092,13764000,,,6176563000,552470000,5624093000
1035201,13331000,,,5257751000,,
1035267,698400000,,,19220400000,17106400000,2012700000
1035443,-8939000,,,37600428000,17464647000,15600870000
1035983,169289000,,1831286000,4569218000,1777013000,2792205000
1036044,-4789000,,,158735000,150499000,8236000
1036262,-2329000,1504000,,148027000,99395000,48632000
1037540,61177000,,865215000,25436521000,5319942000,17577740000
1037646,163587000,,883744000,3234679000,-181982000,3416661000
1037868,351758000,,,14877096000,9969946000,4907150000
1038074,-30470000,,,1229496000,1068419000,161077000
1038277,-112694,,,17565637,4339667,13225970
1039065,41134000,37819000,,2080997000,879325000,1201672000
1039280,1423968,-1147042,20520677,58143579,35454060,19247786
1039399,6401000,,,1156167000,965874000,190293000
1039684,636000000,,,64263000000,21364000000,
1039828,-206000000,,1889000000,123434000000,,113389000000
1040161,-7761000,,0,58460000,-15975000,23996000
1040470,-643000,-1028000,18307000,145607000,124210000,21397000
1040829,62961000,,,5239107000,531533000,4277143000
1040896,-318000,,,24561000,17608000,6953000
1040971,-17337000,,239846000,11410623000,3836457000,6972478000
1041024,-1515000,,,53961000,31522000,22439000
1041061,253000000,,1787000000,6659000000,-7804000000,14463000000
1041368,1148000,1232000,,1513323000,160014000,1353309000
1041514,-22353000,-32456000,161450000,649198000,185229000,368220000
1041657,-11742000,,,890551000,159238000,727595000
1041859,-34023000,,,779602000,1415000,778187000
1042046,154000000,,1856000000,30294000000,4392000000,25902000000
1042187,-416000,,,24593000,10478000,14115000
1042418,-632846,,,4505267,1352194,3153073
1042729,19537000,,,6141200000,608346000,5532854000
1042776,-10104000,,142686000,4003957000,1560208000,2442226000
1042893,14757000,,,1196003000,978376000,217627000
1043000,-12529000,,91923000,824479000,58770000,708513000
1043186,-1598000,,,83060000,65911000,17149000
1043219,124224000,,,105115346000,12994716000,92030838000
1043277,135302000,,,5226114000,1734725000,3491389000
1043337,-7196000,,,657359000,253096000,
1043509,70600000,,,5875700000,1090800000,
1043951,36049572,,,643242814,,5770098
1044777,14505000,,,333810000,231119000,102691000
1045450,65803000,,175033000,5532549000,,3211537000
1045609,592953000,,2139665000,95993391000,53467210000,37917953000
1045810,18775000000,,44062000000,125254000000,83843000000,41411000000
1046025,13911000,,,7129862000,881515000,6248347000
1046050,6755000,6860000,,1932730000,252524000,1680206000
1046102,113400000,,1108600000,11887300000,5283500000,6111400000
1046257,197000000,95000000,,7468000000,3977000000,3420000000
1046311,44534000,,332860000,2577588000,-63934000,2641522000
1046568,43688000,,,1268544000,970255000,
1047127,21128000,,,6921241000,4156410000,2730651000
1047335,32205000,,373697000,1548821000,1004895000,540839000
1047340,31100000,,1098400000,3154100000,2006000000,1131100000
1047862,791000000,,4798000000,70691000000,23783000000,
1048286,665000000,,6263000000,26651000000,-3168000000,
1048477,185686000,,,7147007000,5793459000,1353548000
1048911,909000000,741000000,,85043000000,26708000000,
1049502,52000000,,,8556000000,2354000000,6202000000
1049521,-19170000,-17579000,211358000,2414417000,1451089000,963328000
1049606,5131000,,,162206000,147581000,
1050377,13481000,,,1247503000,876975000,370528000
1050441,1675000,,,11317361000,1244891000,10072470000
1050446,-4217370000,-670810000,111066000,43919760000,32221236000,10394027000
1050743,7595000,9240000,64359000,7120652000,621873000,6498779000
1050797,42248000,,,2707415000,1709767000,997648000
1050825,27600000,19100000,788000000,2330400000,951700000,1378700000
1050915,144258000,,,19134546000,7456660000,11662174000
1051470,-464000000,,1061000000,31760000000,,33013000000
1051512,7470000,,290433000,8036815000,5078000000,
1051514,-2122000,,,33033000,2979000,30054000
1051627,-8798000,,19356000,333477000,185037000,87305000
1052752,14786000,,52330000,1969635000,961120000,1008515000
1053352,11626000,,,5514255000,696190000,4818065000
1053691,-4894034,,1917491,38577488,34634487,3943001
1053706,18002000,,,590442000,227319000,
1054102,1647000,,,14494000,-582000,15076000
1055160,41176000,,,11519506000,1838404000,9681102000
1055726,-19694697,,,87272659,51250724,36021935
1056285,-11824000,,,225409000,-16218000,241627000
1056288,101134000,,,2002053000,1076142000,858721000
1056358,-1530000,,,36669000,7585000,29084000
1056696,52582000,,,708221000,245095000,
1056903,26844000,,148013000,2545453000,956407000,
1056943,15009000,,,4999358000,481854000,4517504000
1057352,-15000000,,,10428100000,8556200000,1871900000
1057379,3143000,3564000,,191760000,114415000,77345000
1057706,77059000,,,19106983000,1779342000,17327641000
1058090,386599000,,2875253000,9044094000,3490872000,5553222000
1058290,663000000,,5115000000,19967000000,14899000000,5068000000
1058307,-1942000,,,35204000,25337000,9753000
1058623,-32367000,,,1071851000,-24841000,1096692000
1059142,2403022,,24322563,1502887278,,1145636084
1059556,625000000,,,15096000000,3700000000,11238000000
1060391,494996000,,4593000000,33103000000,11663000000,
1060822,15539000,,,2331800000,847245000,1484555000
1060955,160812000,,,16641279000,9425871000,7215408000
1061069,-1499000,,,87631000,36535000,
1061219,1393000000,,15417000000,75406000000,,
1061630,-357000,,,19957475000,3681968000,16268757000
1061983,-161376000,,,1264051000,-266413000,1530464000
1062231,7100000,,,5139400000,596300000,4543100000
1062822,-25295000,,1262000,297671000,123032000,174639000
1064722,-8288,,,4886,-268125,273011
1064728,34400000,,937000000,5783700000,3667900000,2068600000
1065059,27200000,,,1293900000,213900000,1080000000
1065078,-363000,,150000,43871000,42701000,1170000
1065088,499000000,,,18954000000,4829000000,14004000000
1065280,2890351000,,10542801000,52087644000,24028073000,28059571000
1065696,169000000,,3327000000,15469000000,6174000000,
1066194,66000,671000,,106220000,51586000,54634000
1066605,13306000,,287442000,1023691000,465050000,558641000
1066656,2859,-142752,,143624328,,2480192
1066764,-857644,,,23218625,21065028,
1066923,-4573348,,542131,23641060,10922101,12718959
1067294,12574000,22207000,,2139049000,469311000,
1067701,518000000,689000000,3719000000,28050000000,8789000000,19261000000
1067983,4603000000,,89725000000,1164532000000,654471000000,507790000000
1068148,8300000,,,1438600000,368200000,
1068689,-676664,,,5780837,-13120199,18901036
1068851,130225000,,,38764675000,7517061000,31247614000
1069157,290270000,,,76165013000,7929465000,68235548000
1069183,87980000,,,6083159000,2555853000,3527306000
1069202,129600000,,1072600000,3455400000,973700000,2602900000
1069258,4500000,,,2004900000,1387600000,617300000
1069394,-277734,,,61689258,38422688,19918823
1069530,-23403000,,,140932000,127616000,13316000
1069878,60434000,21826000,,1641199000,947061000,731120000
1069899,20880000,3185000,,1317260000,265992000,1051268000
1070050,-2641000,,217000,6911000,3662000,3249000
1070081,866562000,,,2655387000,-185760000,2841147000
1070296,3235000,3262000,,1214538000,120080000,1094343000
1070412,-197715000,,82388000,9046709000,3770774000,5275935000
1070423,443000000,36000000,11477000000,27059000000,,
1070494,18987000,,,1132364000,765237000,367127000
1070524,8054000,7490000,,3007956000,229043000,2778913000
1070680,4430000,,,2094681000,172682000,1921999000
1070750,248000000,,,12947000000,6650000000,6161000000
1071236,10352000,9306000,,3186432000,333316000,2853116000
1071255,2499000,,160843000,1058083000,462038000,596045000
1071739,1311000000,,46620000000,87044000000,27916000000,59025000000
1072379,-19343000,,,27505000,-99479000,112343000
1074902,4609000,,,2302745000,258651000,2044094000
1075415,-8986000,,,4995843000,1948051000,3047792000
1075736,1171000,507000,16057000,67449000,55222000,12227000
1076930,21208000,,,1385456000,769755000,615701000
1077183,-25923000,,,1601430000,888269000,713161000
1077428,47047000,,,31375749000,3429774000,27945975000
1077688,-3052000,,,14500000,199157000,100528000
1078271,3458000,7382000,,1073077000,71705000,
1080340,1373134,,2273713,65787420,43326082,22461338
1080448,-400106,,0,404584,-606828,
1080657,2265352,,4125184,135424916,28255453,98864550
1081316,1187000000,,6366000000,142269000000,50873000000,90120000000
1081745,-727565,,,17964014,10357641,7606373
1081938,-690594,-3740841,335319,11234360,-20507122,31741482
1082324,-3679000,,,45111000,36363000,8748000
1082554,322200000,,,7743900000,6807200000,936700000
1082733,-368056,-381780,0,22211,-5285197,
1083220,-2797000,,,52486000,27736000,26776000
1083301,-61418000,,34405000,841162000,170375000,670787000
1083446,6692000,,,1331256000,745368000,813550000
1083490,-914614,,9787786,162697019,107910955,68310110
1083522,-852000,,,9834000,1396000,8438000
1084048,24239000,,,3515875000,1821365000,1694510000
1084267,-2295987,,12613,6378079,3189238,3188841
1084554,-4771012,,0,58287682,57321473,
1084765,-44052000,-68715000,129438000,375625000,277826000,97799000
1084869,-178244000,64348000,,806217000,317730000,488487000
1084961,46796000,,392775000,4969586000,,4150525000
1084991,4854000,,41383000,501691000,260264000,241427000
1085243,1264060,-888344,0,66797122,46486326,19812659
1085277,-281005,,5000,149554,-9479752,9629306
1085392,167556000,,1602003000,19712480000,5514768000,
1085913,23009000,,,5680024000,602306000,5077718000
1086222,123171000,,,9982190000,4584561000,5397629000
1086600,73983000,,,2902735000,,1071275000
1086745,845011,,,16155172,3006353,9784216
1087294,1257068,-1903814,,69935878,28657020,41595259
1088034,-234970,,,109620138,18991930,90628208
1088413,965665,-204714,,49712996,22026656,
1088856,20547000,,,846455000,683285000,163170000
1089063,264288000,,,10434582000,3052394000,
1089815,-424000,,,4319000,4228000,91000
1089872,-1014000,,,148503000,86992000,48378000
1089907,4539000,,11832000,331264000,292669000,38595000
1090009,5266000,,,4284311000,337598000,3946713000
1090012,494000000,,4452000000,30928000000,14545000000,
1090396,782239,,3535933,14014915,12184968,1829947
1090425,138755000,,,6547175000,,5515605000
1091596,-746128,,,1146754,-213073,1359827
1091667,1217000000,,13735000000,150954000000,16247000000,
1092699,22196000,,,1109050000,920921000,188129000
1093557,105400000,,,6751700000,2266600000,4485100000
1093672,4345000,,,1692985000,138508000,1554477000
1093691,-196656000,,133674000,3633406000,1857200000,1700819000
1094038,-4446184,,,16993266,14491871,2501395
1094285,188600000,,,15048500000,9925200000,5117100000
1094831,55164000,,664240000,4884476000,963784000,3741525000
1095073,210000000,,4263000000,58132000000,14140000000,43993000000
1095146,2624000,,72629000,75779000,24001000,51778000
1095565,4332000,,,524036000,362808000,
1095651,29364000,,97677000,6929355000,2350832000,4548179000
1095981,-17401000,,1059000,12056000,-23641000,35697000
1096056,5500000,,,385200000,226700000,158500000
1096275,-4460464,,2240005,26663002,20125497,6537505
1096296,-81688,,,432280354,241110817,5169537
1096343,121714000,,3548176000,64599055000,17148507000,46854574000
1096938,-1531659,,0,104542,-2855365,2959907
1097149,93230000,,,6102820000,3794243000,2308577000
1097864,-486100000,,,13253900000,8029900000,5205000000
1098009,-158399,-193120,56148,266993,-5626992,5976602
1098146,-2777000,,,956612000,57146000,899466000
1098151,5991000,,,2711310000,211674000,2499636000
1099160,-2689821,,,539259398,144619400,394639998
1099219,945000000,,18569000000,688316000000,27493000000,660561000000
1099590,494000000,,5935000000,27682000000,5004000000,22678000000
1099800,358000000,385600000,,13022300000,10128700000,2830700000
1100682,25469000,,,7582366000,3194336000,4340584000
1101026,-4211188,,0,1331334,-1617277,2948613
1101215,138000000,,,22382000000,3068000000,19314000000
1101239,343000000,,,36079000000,13889000000,22166000000
1101302,62900000,,,8431400000,,
1101433,-499811,,4824356,6886637,915777,
1102238,2965000,-161000,12008000,1044999000,604906000,239445000
1102993,-14133000,,,596220000,-74944000,671164000
1103795,-9674000,,0,569000,-4347000,4916000
1103833,-3259,,135,1534,-273404,274938
1103982,402000000,,9313000000,68927000000,25785000000,43104000000
1104038,-571000,,4455000,17095000,14643000,2452000
1104485,138982000,,602098000,5674614000,2402081000,3272533000
1104506,-256583000,,,1802735000,99159000,1703576000
1104657,17698000,,,1752357000,887929000,
1106213,-731401,,0,262419,-2882556,3144975
1106644,-785572,,1136287,14217073,6969848,7247225
1107280,-102910,,,43656,-512721,
1107421,-1073000,,,2120000,1058000,1062000
1107843,47534000,,,996471000,498035000,498436000
1108109,-13000000,,3159000000,13890000000,-1923000000,15219000000
1108134,19100000,17536000,110443000,12013199000,1240182000,10816439000
1108205,-10616000,,,39326000,-6607000,45933000
1108524,1541000000,,,98610000000,60666000000,37944000000
1109242,17672000,,62818000,7729035000,751485000,6977550000
1109354,17400000,,,5933100000,,
1109448,220799000,,1098124000,9377218000,,4407610000
1110607,-29000,,5250000,19232000,8645000,10587000
1110611,-8703000,,,245778000,153726000,92052000
1110803,131000000,186000000,,6182000000,2368000000,
1111335,67000000,125000000,934000000,3103000000,1419000000,
1111485,-8190000,,,313044000,279316000,33728000
1111711,474800000,,,33105100000,8896800000,
1111741,601376,,13696401,40726803,4190693,30678630
1111928,3758000,,,2317348000,2060442000,256906000
1113169,490500000,,,13993700000,10394700000,2461400000
1113232,28579000,,192563000,1340618000,1027238000,313380000
1113313,-79110,,22598,209841,-1285270,1495111
1113809,15319000,,,308303000,148682000,
1114483,-22487000,,,3297703000,1606704000,1690999000
1114925,-3868000,-2372000,28500000,124189000,75470000,48719000
1114927,3671000,,,1875700000,187805000,1687895000
1114995,-8451000,,,479825000,160564000,319261000
1115055,140408000,,,54254804000,6543142000,47711662000
1116132,203300000,310400000,,7306200000,1493800000,5812400000
1116463,-16040000,,,457607000,396282000,61325000
1116942,32178000,,648668000,3454599000,1587001000,
1117057,-796902,,840333,26117101,10954680,15162421
1117171,-1579234,,34938901,311464641,120791786,192721548
1117297,4416000,-1549000,,417235000,235475000,181760000
1118004,23219000,,,8029850000,704440000,7230157000
1119190,12840493,,0,39031087,13407839,25623248
1119643,-1404923,,,775179,-16212837,16988016
1120193,395000000,,,30647000000,11546000000,19092000000
1120370,-370000,,,129318000,59309000,
1120914,-3032000,,,389972000,248980000,140992000
1120970,-9093931,,785815,169604637,,51779562
1121484,3158000,,,990735000,683411000,307324000
1121788,332769000,,,9787622000,8179478000,
1121795,-31532,-45714,4755,1801,-398237,
1122904,-6034000,,,814196000,534243000,279953000
1122976,-20200000,,,5811200000,2298300000,
1123360,305734000,,,47616106000,22248343000,24591533000
1123494,-50340000,,,79801000,14835000,64966000
1123596,116267,,,4703010,3239579,1463431
1123852,184000000,,,27707000000,9594000000,
1124105,4939000,,,129790000,68123000,25488000
1124140,-101215000,-864585000,,5711073000,2396907000,3314166000
1124198,-241000000,,3982000000,8423000000,3591000000,
1124524,-11981000,,41040000,699844000,398811000,301033000
1124796,-8093000,,,289996000,212759000,77237000
1125345,-41036000,,13192000,224565000,79119000,145446000
1125376,80277000,,1173041000,4759846000,1926817000,2829689000
1126328,48100000,,3695900000,313003300000,11216800000,301408300000
1127371,8293000,,,3553086000,372197000,3180889000
1127537,-14448000,,,150736000,77667000,73069000
1127703,-5822000,,272079000,5526020000,1233620000,4292400000
1128189,-97690,,,528625,376400,
1128281,-514765,,,10163260,9188128,975132
1128361,21096000,24337000,,17068316000,2160033000,14908283000
1128928,52998000,,1554230000,4326946000,1415625000,
1129155,2206000,,,182883000,126401000,56482000
1130144,9101000,10364000,,3606183000,351756000,3254427000
1130166,-81000,,,3734000,3062000,672000
1130310,297000000,,2920000000,44486000000,10955000000,
1130464,134300000,,805200000,10061200000,3635100000,
1130598,21490000,,57000,19063000,,13063000
1130713,-39912000,,,363725000,143368000,220357000
1131312,-1675000,-1746000,0,35966000,32765000,3201000
1131903,-660000,-3270544000,0,21631,-941509,1185026
1132105,-21254000,,249103000,929669000,215057000,714612000
1132509,-15820,,0,10115,-736945,747060
1132651,3443000,,,2184293000,183056000,2001237000
1133311,3167000,,,49202000,-6053000,50347000
1133416,-9631000,,,9528000,-113984000,121789000
1133421,481000000,,9468000000,48468000000,14984000000,33484000000
1133818,-2852000,,,2195000,-2589000,4784000
1133869,-24391594,,,153765973,127645467,26120506
1134115,-669068,,,59809038,59568632,240406
1134765,-1217000,,,3170000,-2809000,5979000
1134982,-3191732,,0,327567,-3918778,4246345
1136869,182000000,,,22183900000,12395100000,9780000000
1136893,77000000,281000000,,32841000000,15064000000,17773000000
1137091,19082000,,,372728000,84343000,288385000
1137547,2682000,,,1191791000,132876000,1058915000
1137774,707000000,,13470000000,739262000000,29883000000,707040000000
1137789,340000000,336000000,,7564000000,-829000000,8393000000
1138118,163000000,,8875000000,26366000000,8282000000,17362000000
1138476,292663,,1818814,12656926,11979866,
1138723,-1297000,2537000,,484291000,49583000,434708000
1140102,1363000,,7472000,93737000,65564000,28173000
1140215,-2031000,,,24519000,4664000,19855000
1140536,235000000,,2223000000,28064000000,8133000000,19850000000
1141103,-490000,-3753000,,576235000,418210000,158025000
1141197,140000,,8736000,145575000,116219000,23860000
1141240,-568000,,,29963000,,1317000
1141284,-1860000,,721000,7107000,2806000,4301000
1141688,4701000,,,1578589000,142651000,1435938000
1142417,108000000,,,11414000000,2247000000,9164000000
1142750,-1092000,,,2395123000,715051000,1680072000
1144980,132100000,,4148500000,10221000000,3623500000,
1145197,35400000,,569000000,3517300000,1330600000,2186600000
1145604,-12945,,,34988,-234176,269164
1145765,-26175,,,70542509,,1678127
1145986,-301249000,,,554976000,314834000,240142000
1156039,2183000000,,48891000000,119717000000,42503000000,77097000000
1156041,-1011161,,,7164923,7007376,157547
1157408,99346000,96393000,,2207944000,1417372000,790572000
1157601,-73238000,,137250000,996629000,710637000,285992000
1157647,2303000,3288000,,2709284000,237676000,2471608000
1158114,-9172000,,,644668000,309013000,335655000
1158172,-3993000,,,421531000,-13458000,227519000
1158324,-52042000,,,3120722000,142844000,2977878000
1158449,24000000,,,10617000000,2197000000,8420000000
1158463,-208000000,,,17101000000,2445000000,
1158780,-6147000,-2956000,427000,37407000,-4474000,
1158895,11011000,,,556006000,347572000,208434000
1159036,118095000,,,2196532000,482270000,1714262000
1159167,-87273000,,101569000,461509000,-793000,462302000
1160308,-26639000,,,189316000,147850000,41466000
1160791,-8319000,,,147656000,24584000,123072000
1161728,41592000,,,2841377000,1258913000,
1162194,-26033000,,,579597000,454595000,125002000
1162896,-2617000,,13590000,775445000,34043000,553121000
1163165,2849000000,,16517000000,124254000000,65238000000,59016000000
1163370,13324000,10927000,54601000,3140960000,279756000,2861204000
1163389,1908000,,,880747000,72572000,808175000
1163609,4373073,,,582423876,,
1163668,12294000,,,4405209000,443743000,3961466000
1163739,32988000,,,5038663000,342660000,3604307000
1164727,1891000000,,,55519000000,31248000000,24088000000
1164863,24500000,,,2506600000,1461800000,1044800000
1165002,477000,-3125000,23252000,134988000,121386000,13602000
1166003,69000000,,,7879000000,1640000000,
1166691,3375000000,,,267770000000,86638000000,
1166708,-54468,,1529203,5583600,1531331,4052269
1166928,7842000,,,3986669000,237873000,3748796000
1167419,-296367000,,161387000,3719017000,2944838000,774179000
1168455,7180000,,,1633292000,187603000,1445689000
1169138,-526819,,66023,19476,-3636150,3655626
1169445,459000,,,388842000,166883000,220334000
1169770,53568000,56919000,440305000,33779918000,3521656000,30258262000
1171155,2541000,6467000,,414502000,218238000,196185000
1171326,183485,,961954,9459464,8594164,865300
1171759,1249000,,,606229000,-80412000,686641000
1172052,21896000,,301429000,2291302000,850667000,1440635000
1172178,-336132,,,121887,-1390486,1512373
1172358,17642000,,,349038000,,5903000
1173313,-842075,,,14875699,5404386,6919404
1173420,-9116000,,0,102027000,-56126000,158153000
1173489,-3327000,,,309991000,269132000,
1173514,8600000,,910400000,2055300000,510000000,1525900000
1174850,32592000,,,8975222000,1183268000,7791954000
1174891,-241000,,,5619000,3470000,2149000
1174922,72747000,,,12724044000,-360678000,13825965000
1174940,-2216993,,,3869111,137688,3731423
1175151,-1479000,,,50781684,14544000,36238900
1175454,243233000,,1005667000,18547780000,3453836000,
1175535,3701000,17337000,38003000,1126691000,431025000,690124000
1175680,-4758000,-4768000,,21191000,-92979000,114170000
1176309,-7642000,,2000000,147539000,140812000,
1176334,-1033000,,,533410000,,605038000
1176948,47170000,,1004508000,27181768000,4454107000,18389821000
1177394,167537000,,,28796066000,8050395000,20745671000
1177609,41148000,187457000,,4452802000,1858062000,2594740000
1177702,49810000,,787575000,3365221000,2360427000,
1178253,-5391000,,,67915000,50532000,17383000
1178670,-18251000,,,4213811000,426140000,4098376000
1178697,458000,,16721000,35958000,-1079000,37037000
1178879,-21686000,,,789839000,193558000,596281000
1178970,64028000,,,24224759000,2658794000,21565965000
1179929,298000000,,11147000000,16386000000,4310000000,12076000000
1180262,50400000,,,2684300000,-736000000,3420300000
1185348,3659000,,269619000,5148069000,1219108000,3867551000
1187953,-1638097,,3000,8347274,8060887,286387
1191070,11262161,-1943349,,30713319,25997308,4716011
1192323,-81190,,0,441929,-1099745,1541674
1192448,-18146000,,,966178000,763959000,202219000
1193311,181000000,,1548000000,41787000000,,25570000000
1196298,558000,,,11778000,,2487000
1200375,-20688000,,,128887000,49629000,79258000
1201792,8893000,,,578661000,310012000,268649000
1206264,-33100000,,,11329700000,,8579400000
1209709,-985726,1315572,,46432168,,861890
1210677,-41194000,,354588000,3871691000,1278755000,2592936000
1210708,-1756000,,31866000,113231000,39474000,13711000
1211583,-1165000,,8751000,46403000,-5880000,52283000
1211805,-1060000,,,8751000,6029000,2722000
1212545,199100000,,,83043000000,6922000000,75828000000
1213037,-13434000,,,84807000,70876000,13931000
1213809,-2027579,,,7894878,923611,6971267
1214816,194071000,,1522106000,33249174000,5902799000,27346375000
1217234,-10353000,,,489638000,379349000,110289000
1218683,-310863,,13814373,57863935,-1444026,59307961
1219601,193000000,,,13841000000,2694000000,
1220754,-50377000,,,1677163000,-87633000,1764796000
1222333,14271786000,-604333000,,93480906000,,29635000
1224133,-1982000,,,40633000,31374000,9259000
1224608,21500000,182900000,1004100000,37436300000,2555100000,34905800000
1226616,-2864120,,,52431150,49930476,2500674
1227265,-4073698,-3111739,,265078476,,4498941
1227500,15041000,,,5446100000,617324000,4828776000
1227636,-12675000,,,141988000,35452000,102457000
1228454,-8324000,,,3473822000,314722000,3159100000
1228627,-8194000,,,48167000,5073000,24251000
1230058,-1168000,,440000,88746000,79691000,9055000
1230245,64915000,69059000,358554000,1820501000,1213473000,442391000
1230524,86172,-24255,1333,50266,-95250,145516
1231457,-7492000,,,38985000,29846000,9139000
1232524,-92500000,,,11534682000,4174800000,
1232582,-19971000,,,3082421000,-446105000,3298551000
1234006,5134000,,37501000,1160443000,183216000,807050000
1235912,-13766000,,,129589000,69360000,60229000
1236275,8800000,,,5113196000,5059400000,53782000
1237831,75462000,,598121000,4711148000,4088068000,623080000
1253689,-15148000,-17867000,,5992180,-30161000,2616926
1254699,-42000000,,1905000000,9675000000,3258000000,6339000000
1257640,18100000,,,1946000000,847000000,
1258602,82560000,,,14191958000,3419523000,10828949000
1259429,-8121517,,,285490638,148882310,136608328
1261333,72087000,,,3947403000,2014802000,1932601000
1262039,433400000,,,10407000000,1962900000,8444100000
1262104,-2573000,-2677000,0,20779000,19541000,1238000
