cusip,issueDate,securityType,securityTerm,auctionDate,auctionDateYear,originalDatedDate,highYield,highDiscountRate,highInvestmentRate,highPrice,averageMedianYield,averageMedianDiscountRate,averageMedianInvestmentRate,averageMedianPrice,lowYield,lowDiscountRate,lowInvestmentRate,lowPrice,bidToCoverRatio,allocationPercentage,allocationPercentageDecimals,competitiveTendered,competitiveAccepted,noncompetitiveTendered,noncompetitiveAccepted,directBidderTendered,directBidderAccepted,indirectBidderTendered,indirectBidderAccepted,primaryDealerTendered,primaryDealerAccepted,fimaNoncompetitiveTendered,fimaNoncompetitiveAccepted,offeringAmount,totalAccepted,totalTendered,term,tintCusip,tips,frn
91282CFQ9,2022-10-31,Note,2-Year,2022-10-25,2022,,4.46,,,99.839071,4.388,,,,4.25,,,,2.59,56.82,2,107184080000.0,40527786000.0,,1372259400.0,10244600000.0,10244600000.0,31728480000.0,20470245000.0,65211000000.0,9812941000.0,100000000.0,100000000.0,42000000000.0,42000045400.0,108656339400.0,2-Year,,No,
91282CFU0,2022-10-31,Note,5-Year,2022-10-26,2022,,4.192,,,99.700589,4.119,,,,4.05,,,,2.48,12.83,2,106396052000.0,42777382000.0,,222624400.0,8206000000.0,6655500000.0,36005052000.0,29079052000.0,62185000000.0,7042830000.0,0.0,0.0,43000000000.0,43000006400.0,106618676400.0,5-Year,,No,
91282CFT3,2022-10-31,Note,7-Year,2022-10-27,2022,,4.027,,,99.836721,3.95,,,,3.85,,,,2.43,25.97,2,85020084000.0,34956232800.0,,43794200.0,8172700000.0,7941356300.0,26690384000.0,22081384000.0,50157000000.0,4933492500.0,0.0,0.0,35000000000.0,35000027000.0,85063878200.0,7-Year,,No,
91282CFW6,2022-11-15,Note,3-Year,2022-11-08,2022,,4.605,,,99.708904,4.54,,,,4.0,,,,2.57,4.85,2,102137600000.0,39411710000.0,,388314100.0,9887000000.0,6716100000.0,35970600000.0,24506635000.0,56280000000.0,8188975000.0,200000000.0,200000000.0,40000000000.0,54027076300.0,116752966300.0,3-Year,,No,
91282CFX4,2022-11-30,Note,2-Year,2022-11-21,2022,,4.505,,,99.990539,4.46,,,,4.35,,,,2.64,98.05,2,109923555000.0,40926642500.0,,973450300.0,10235000000.0,9164525000.0,37510555000.0,23321067500.0,62178000000.0,8441050000.0,100000000.0,100000000.0,42000000000.0,46566125200.0,115563037700.0,2-Year,,No,
91282CFZ9,2022-11-30,Note,5-Year,2022-11-21,2022,,3.974,,,99.555059,3.899,,,,3.8,,,,2.39,81.79,2,102619225000.0,42854513600.0,,145501300.0,8576000000.0,8016895000.0,34888225000.0,28380365600.0,59155000000.0,6457253000.0,0.0,0.0,43000000000.0,47674762400.0,107439473800.0,5-Year,,No,
91282CFY2,2022-11-30,Note,7-Year,2022-11-22,2022,,3.89,,,99.908851,3.819,,,,3.75,,,,2.33,64.18,2,81513270000.0,34961096000.0,,38917200.0,6274900000.0,5856990000.0,24926370000.0,21638370000.0,50312000000.0,7465736000.0,0.0,0.0,35000000000.0,38805040100.0,85357214100.0,7-Year,,No,
91282CGA3,2022-12-15,Note,3-Year,2022-12-12,2022,,4.093,,,99.739942,4.03,,,,3.94,,,,2.55,7.68,2,101602400000.0,39545800000.0,,254247800.0,8183000000.0,8083000000.0,35104400000.0,24402800000.0,58315000000.0,7060000000.0,200000000.0,200000000.0,40000000000.0,40000047800.0,102056647800.0,3-Year,,No,
91282CGD7,2023-01-03,Note,2-Year,2022-12-27,2022,,4.373,,,99.767054,4.317,,,,4.22,,,,2.71,83.88,2,113099710000.0,41144126000.0,,855917000.0,10090000000.0,7697666000.0,42103710000.0,25600460000.0,60906000000.0,7846000000.0,0.0,0.0,42000000000.0,42000043000.0,113955627000.0,2-Year,,No,
91282CGC9,2023-01-03,Note,5-Year,2022-12-28,2022,,3.973,,,99.559582,3.905,,,,3.83,,,,2.46,37.18,2,105449120000.0,42861166900.0,,138852000.0,8540000000.0,7957034900.0,36233120000.0,27650952000.0,60676000000.0,7253180000.0,0.0,0.0,43000000000.0,43000018900.0,105587972000.0,5-Year,,No,
91282CGB1,2023-01-03,Note,7-Year,2022-12-29,2022,,3.921,,,99.720458,3.859,,,,3.8,,,,2.45,16.12,2,85821065000.0,34946725000.0,,53285200.0,5883100000.0,5650100000.0,27955965000.0,23791565000.0,51982000000.0,5505060000.0,0.0,0.0,35000000000.0,35000010200.0,85874350200.0,7-Year,,No,
91282CGE5,2023-01-17,Note,3-Year,2023-01-10,2023,,3.977,,,99.714294,3.93,,,,3.86,,,,2.84,93.81,2,113374415000.0,39795840000.0,,204169200.0,9445000000.0,5244000000.0,41952415000.0,27674840000.0,61977000000.0,6877000000.0,0.0,0.0,40000000000.0,40000009200.0,113578584200.0,3-Year,,No,
91282CFV8,2023-01-17,Note,9-Year 10-Month,2023-01-11,2023,2022-11-15T00:00:00,3.575,,,104.51558,3.499,,,,3.45,,,,2.53,71.8,2,80913151000.0,31971531000.0,,28502900.0,6504000000.0,5728380000.0,26679151000.0,21427151000.0,47730000000.0,4816000000.0,0.0,0.0,32000000000.0,32000033900.0,80941653900.0,10-Year,,No,
912810TL2,2023-01-17,Bond,29-Year 10-Month,2023-01-12,2023,2022-11-15T00:00:00,3.585,,,107.556697,3.535,,,,3.5,,,,2.45,50.66,2,44095910000.0,17986672000.0,,13368700.0,3497600000.0,2937600000.0,16705310000.0,13422940000.0,23893000000.0,1626132000.0,0.0,0.0,18000000000.0,18000040700.0,44109278700.0,30-Year,,No,
912810TM0,2023-01-31,Bond,19-Year 10-Month,2023-01-18,2023,2022-11-15T00:00:00,3.678,,,104.4896,3.62,,,,3.58,,,,2.83,84.93,2,33937020000.0,11980222300.0,,19782400.0,2512000000.0,1870000000.0,13212020000.0,9135222300.0,18213000000.0,975000000.0,0.0,0.0,12000000000.0,12000004700.0,33956802400.0,20-Year,,No,
91282CGG0,2023-01-31,Note,2-Year,2023-01-24,2023,,4.139,,,99.973391,4.1,,,,4.07,,,,2.94,88.25,2,123030665000.0,41380365000.0,,619637800.0,10115000000.0,7750000000.0,45233665000.0,26893365000.0,67682000000.0,6737000000.0,0.0,0.0,42000000000.0,42000002800.0,123650302800.0,2-Year,,No,
91282CGJ4,2023-01-31,Note,7-Year,2023-01-26,2023,,3.517,,,99.895326,3.457,,,,3.41,,,,2.69,77.5,2,94136550000.0,34962200000.0,,37809400.0,7688300000.0,5879300000.0,34408250000.0,26944650000.0,52040000000.0,2138250000.0,0.0,0.0,35000000000.0,35000009400.0,94174359400.0,7-Year,,No,
91282CGL9,2023-02-15,Note,3-Year,2023-02-07,2023,,4.073,,,99.795799,3.989,,,,3.96,,,,2.33,92.21,2,93028366000.0,39717991000.0,,182132300.0,8415000000.0,8365000000.0,23933366000.0,23454941000.0,60680000000.0,7898050000.0,100000000.0,100000000.0,40000000000.0,55631649500.0,108942024500.0,3-Year,,No,
91282CGN5,2023-02-28,Note,2-Year,2023-02-21,2023,,4.673,,,99.909356,4.61,,,,4.54,,,,2.61,72.04,2,109089936100.0,41323938100.0,,676087700.0,9865000000.0,9500778000.0,40209936100.0,25638160100.0,59015000000.0,6185000000.0,0.0,0.0,42000000000.0,51542599200.0,119308597200.0,2-Year,,No,
91282CGP0,2023-02-28,Note,5-Year,2023-02-22,2023,,4.109,,,99.511842,4.03,,,,4.0,,,,2.48,57.66,2,106594930000.0,42848281500.0,,145580500.0,8835000000.0,8154901500.0,38147930000.0,29971380000.0,59612000000.0,4722000000.0,6200000.0,6200000.0,43000000000.0,52769839400.0,116516487900.0,5-Year,,No,
91282CGR6,2023-03-15,Note,3-Year,2023-03-07,2023,,4.635,,,99.97229,4.58,,,,4.5,,,,2.73,67.04,2,108839247000.0,39774711000.0,,225292600.0,8640000000.0,8223024000.0,36353247000.0,24854847000.0,63846000000.0,6696840000.0,0.0,0.0,40000000000.0,40000003600.0,109064539600.0,3-Year,,No,
91282CGU9,2023-03-31,Note,2-Year,2023-03-27,2023,,3.954,,,99.849511,3.87,,,,3.8,,,,2.44,13.09,2,101844275000.0,41437725000.0,,462293600.0,10665000000.0,10015000000.0,32379275000.0,21879275000.0,58800000000.0,9543450000.0,100000000.0,100000000.0,42000000000.0,42000018600.0,102406568600.0,2-Year,,No,
91282CGT2,2023-03-31,Note,5-Year,2023-03-28,2023,,3.665,,,99.818764,3.589,,,,3.53,,,,2.48,55.29,2,106534920000.0,42900891500.0,,99162700.0,9884000000.0,7810463500.0,35868920000.0,29371841000.0,60782000000.0,5718587000.0,0.0,0.0,43000000000.0,43000054200.0,106634082700.0,5-Year,,No,
91282CGS4,2023-03-31,Note,7-Year,2023-03-29,2023,,3.626,,,99.993866,3.55,,,,3.5,,,,2.39,49.91,2,83738500000.0,34952646300.0,,47364100.0,8218600000.0,7468600000.0,26082900000.0,22102316300.0,49437000000.0,5381730000.0,0.0,0.0,35000000000.0,35000010400.0,83785864100.0,7-Year,,No,
91282CGV7,2023-04-17,Note,3-Year,2023-04-11,2023,,3.81,,,99.831325,3.757,,,,3.65,,,,2.59,71.32,2,103644860000.0,39847606000.0,,152397000.0,10871000000.0,8373032000.0,33842860000.0,24426860000.0,58931000000.0,7047714000.0,0.0,0.0,40000000000.0,42557489100.0,106354743100.0,3-Year,,No,
91282CGM7,2023-04-17,Note,9-Year 10-Month,2023-04-12,2023,2023-02-15T00:00:00,3.455,,,100.365768,3.364,,,,3.3,,,,2.36,66.26,2,75372280000.0,31949495000.0,,50524800.0,6970000000.0,6360000000.0,23272280000.0,20112280000.0,45130000000.0,5477215000.0,0.0,0.0,32000000000.0,34046008600.0,77468793600.0,10-Year,,No,
912810TN8,2023-04-17,Bond,29-Year 10-Month,2023-04-13,2023,2023-02-15T00:00:00,3.661,,,99.34251,3.589,,,,3.527,,,,2.36,32.38,2,42437533600.0,17979393200.0,,20609700.0,3799400000.0,3559400000.0,14434133600.0,12426898200.0,24204000000.0,1993095000.0,0.0,0.0,18000000000.0,19150871600.0,43609012000.0,30-Year,,No,
912810TQ1,2023-05-01,Bond,19-Year 10-Month,2023-04-19,2023,2023-02-15T00:00:00,3.92,,,99.375292,3.85,,,,3.82,,,,2.66,30.81,2,31914810000.0,11960168000.0,,39845100.0,3545000000.0,2300783500.0,11185810000.0,8218574500.0,17184000000.0,1440810000.0,0.0,0.0,12000000000.0,13171112900.0,33125754900.0,20-Year,,No,
91282CGX3,2023-05-01,Note,2-Year,2023-04-25,2023,,3.969,,,99.820997,3.92,,,,3.85,,,,2.68,54.6,2,112157560000.0,41610110000.0,,389942700.0,11506000000.0,8265970000.0,39001560000.0,25465560000.0,61650000000.0,7878580000.0,0.0,0.0,42000000000.0,46098902200.0,116646352200.0,2-Year,,No,
91282CHA2,2023-05-01,Note,5-Year,2023-04-26,2023,,3.5,,,99.999837,3.427,,,,3.35,,,,2.54,65.0,2,109065560000.0,42915960000.0,,84059700.0,11009600000.0,7419000000.0,37317960000.0,29643960000.0,60738000000.0,5853000000.0,0.0,0.0,43000000000.0,47196460700.0,113346060700.0,5-Year,,No,
91282CGZ8,2023-05-01,Note,7-Year,2023-04-27,2023,,3.563,,,99.612688,3.489,,,,3.4,,,,2.41,16.39,2,84487680000.0,34963362500.0,,36642400.0,8248800000.0,7368800000.0,27333880000.0,22415880000.0,48905000000.0,5178682500.0,0.0,0.0,35000000000.0,38415712700.0,87940030200.0,7-Year,,No,
91282CHB0,2023-05-15,Note,3-Year,2023-05-09,2023,,3.695,,,99.802937,3.655,,,,3.5,,,,2.93,67.23,2,117057950000.0,39890554500.0,,109460000.0,11242000000.0,5450000000.0,44342950000.0,29259662500.0,61473000000.0,5180892000.0,0.0,0.0,40000000000.0,50897713300.0,128065108800.0,3-Year,,No,
91282CHD6,2023-05-31,Note,2-Year,2023-05-23,2023,,4.3,,,99.905152,4.255,,,,4.15,,,,2.9,6.83,2,121443720000.0,41665843300.0,,323572200.0,14490000000.0,6501373500.0,44725720000.0,28420515800.0,62228000000.0,6743954000.0,10700000.0,10700000.0,42000000000.0,49887600600.0,129665477300.0,2-Year,,No,
91282CHE4,2023-05-31,Note,5-Year,2023-05-24,2023,,3.749,,,99.439405,3.687,,,,3.55,,,,2.58,60.5,2,110878120000.0,42920796300.0,,75222700.0,10881000000.0,7707051300.0,39707120000.0,31206620000.0,60290000000.0,4007125000.0,4000000.0,4000000.0,43000000000.0,51075301400.0,119032625100.0,5-Year,,No,
91282CHF1,2023-05-31,Note,7-Year,2023-05-25,2023,,3.827,,,99.531059,3.769,,,,3.68,,,,2.61,41.99,2,91286515000.0,34967519600.0,,32589600.0,9210000000.0,6044500000.0,31768515000.0,25281029600.0,50308000000.0,3641990000.0,0.0,0.0,35000000000.0,41573013500.0,97892008900.0,7-Year,,No,
91282CHH7,2023-06-15,Note,3-Year,2023-06-12,2023,,4.202,,,99.785078,4.129,,,,3.88,,,,2.7,93.98,2,107716460000.0,39884564200.0,,110509600.0,11301000000.0,8669104200.0,36254460000.0,24539460000.0,60161000000.0,6676000000.0,5000000.0,5000000.0,40000000000.0,40000073800.0,107831969600.0,3-Year,,No,
91282CHL8,2023-06-30,Note,2-Year,2023-06-26,2023,,4.67,,,99.915018,4.625,,,,4.5,,,,2.86,86.2,2,119663285000.0,41536569000.0,,460475500.0,14415000000.0,7548350000.0,45100285000.0,28447281000.0,60148000000.0,5540938000.0,3000000.0,3000000.0,42000000000.0,42000044500.0,120126760500.0,2-Year,,No,
91282CHK0,2023-06-30,Note,5-Year,2023-06-27,2023,,4.019,,,99.914708,3.95,,,,3.88,,,,2.52,42.63,2,108099385000.0,42898324900.0,,96747200.0,11748000000.0,8447000000.0,36171385000.0,29213064900.0,60180000000.0,5238260000.0,5000000.0,5000000.0,43000000000.0,43000072100.0,108201132200.0,5-Year,,No,
91282CHJ3,2023-06-30,Note,7-Year,2023-06-28,2023,,3.839,,,99.458207,3.77,,,,3.6,,,,2.65,53.68,2,92840985000.0,34969185800.0,,30822100.0,11098300000.0,5788500800.0,33615685000.0,26334685000.0,48127000000.0,2846000000.0,0.0,0.0,35000000000.0,35000007900.0,92871807100.0,7-Year,,No,
91282CHM6,2023-07-17,Note,3-Year,2023-07-11,2023,,4.534,,,99.905249,4.475,,,,4.25,,,,2.88,20.19,2,114919440000.0,39633005100.0,,162007500.0,12016000000.0,7844280100.0,40256440000.0,27516725000.0,62647000000.0,4272000000.0,205000000.0,205000000.0,40000000000.0,40000012600.0,115286447500.0,3-Year,,No,
91282CHC8,2023-07-17,Note,9-Year 10-Month,2023-07-12,2023,2023-05-15T00:00:00,3.857,,,96.080353,3.775,,,,3.73,,,,2.53,29.62,2,80984320000.0,31963359600.0,,36650600.0,10976000000.0,6351000000.0,26097320000.0,21651094600.0,43911000000.0,3961265000.0,0.0,0.0,32000000000.0,32000010200.0,81020970600.0,10-Year,,No,
912810TR9,2023-07-17,Bond,29-Year 10-Month,2023-07-13,2023,2023-05-15T00:00:00,3.91,,,94.99936,3.83,,,,3.78,,,,2.43,5.24,2,43768325000.0,17983945000.0,,16057300.0,5570700000.0,3620700000.0,14018625000.0,12411625000.0,24179000000.0,1951620000.0,0.0,0.0,18000000000.0,18000002300.0,43784382300.0,30-Year,,No,
912810TS7,2023-07-31,Bond,19-Year 10-Month,2023-07-19,2023,2023-05-15T00:00:00,4.036,,,97.810388,3.965,,,,3.92,,,,2.68,5.38,2,32026530000.0,11827793000.0,,172212400.0,4689000000.0,2564000000.0,10201530000.0,8132068000.0,17136000000.0,1131725000.0,0.0,0.0,12000000000.0,12000005400.0,32198742400.0,20-Year,,No,
91282CHN4,2023-07-31,Note,2-Year,2023-07-24,2023,,4.823,,,99.862395,4.76,,,,4.7,,,,2.78,54.24,2,116092220000.0,41253110000.0,,641999600.0,16085000000.0,8566250000.0,41923220000.0,26998220000.0,58084000000.0,5688640000.0,105000000.0,105000000.0,42000000000.0,42000109600.0,116839219600.0,2-Year,,No,
91282CHQ7,2023-07-31,Note,5-Year,2023-07-25,2023,,4.17,,,99.798788,4.1,,,,4.06,,,,2.6,81.95,2,111785920000.0,42889723800.0,,105324100.0,17110000000.0,9489516300.0,34622920000.0,27613307500.0,60053000000.0,5786900000.0,5000000.0,5000000.0,43000000000.0,43000047900.0,111896244100.0,5-Year,,No,
91282CHR5,2023-07-31,Note,7-Year,2023-07-27,2023,,4.087,,,99.474987,4.02,,,,3.92,,,,2.48,86.54,2,86716825100.0,34951525100.0,,48477600.0,10859600000.0,5559600000.0,28240225000.0,24380115000.0,47617000100.0,5011810100.0,0.0,0.0,35000000000.0,35000002700.0,86765302700.0,7-Year,,No,
91282CHU8,2023-08-15,Note,3-Year,2023-08-08,2023,,4.398,,,99.936014,4.355,,,,4.2,,,,2.9,95.89,2,121326130000.0,41499634100.0,,250425700.0,15012000000.0,6514000000.0,43721130000.0,30699074100.0,62593000000.0,4286560000.0,250000000.0,250000000.0,42000000000.0,57712800900.0,137539296800.0,3-Year,,No,
91282CHV6,2023-08-31,Note,2-Year,2023-08-28,2023,,5.024,,,99.954869,4.98,,,,4.9,,,,2.94,92.38,2,131589450000.0,44147021300.0,,748055000.0,17175000000.0,8832431300.0,44689450000.0,28700450000.0,69725000000.0,6614140000.0,105000000.0,105000000.0,45000000000.0,49675357100.0,137117785800.0,2-Year,,No,
91282CHX2,2023-08-31,Note,5-Year,2023-08-28,2023,,4.4,,,99.888884,4.33,,,,4.3,,,,2.54,32.63,2,116417995000.0,45794512100.0,,200589000.0,15293000000.0,8359429600.0,38783995000.0,31103042500.0,62341000000.0,6332040000.0,5000000.0,5000000.0,46000000000.0,50779277000.0,121402759900.0,5-Year,,No,
91282CHW4,2023-08-31,Note,7-Year,2023-08-29,2023,,4.212,,,99.477286,4.155,,,,4.1,,,,2.66,95.53,2,95785320000.0,35931827500.0,,68179000.0,11410400000.0,5380400000.0,33316920000.0,27039427500.0,51058000000.0,3512000000.0,0.0,0.0,36000000000.0,39740231100.0,99593723600.0,7-Year,,No,
91282CHY0,2023-09-15,Note,3-Year,2023-09-11,2023,,4.66,,,99.903057,4.597,,,,4.548,,,,2.75,33.71,2,120699915000.0,43673039500.0,,226993100.0,16293000000.0,9643000000.0,34604915000.0,25184915000.0,69802000000.0,8845124500.0,100000000.0,100000000.0,44000000000.0,44000032600.0,121026908100.0,3-Year,,No,
91282CJB8,2023-10-02,Note,2-Year,2023-09-26,2023,,5.085,,,99.84002,5.03,,,,4.95,,,,2.73,60.59,2,130093786500.0,47170608500.0,,829529300.0,18210000000.0,9903340000.0,46019786500.0,30669684000.0,65864000000.0,6597584500.0,0.0,0.0,48000000000.0,48000137800.0,130923315800.0,2-Year,,No,
91282CJA0,2023-10-02,Note,5-Year,2023-09-27,2023,,4.659,,,99.849471,4.599,,,,4.53,,,,2.52,72.31,2,123408752000.0,48823560500.0,,176489100.0,16445000000.0,8602808500.0,41497752000.0,34737752000.0,65466000000.0,5483000000.0,0.0,0.0,49000000000.0,49000049600.0,123585241100.0,5-Year,,No,
91282CHZ7,2023-10-02,Note,7-Year,2023-09-28,2023,,4.673,,,99.715829,4.6,,,,4.54,,,,2.47,92.57,2,91127970000.0,36908724400.0,,91302100.0,12043000000.0,7357413400.0,28247970000.0,24163598500.0,50837000000.0,5387712500.0,0.0,0.0,37000000000.0,37000026500.0,91219272100.0,7-Year,,No,
91282CJC6,2023-10-16,Note,3-Year,2023-10-10,2023,,4.74,,,99.681877,4.67,,,,4.63,,,,2.56,94.4,2,117637740000.0,45786940000.0,,213068300.0,17053000000.0,10047400000.0,32843740000.0,25625740000.0,67741000000.0,10113800000.0,0.0,0.0,46000000000.0,46000008300.0,117850808300.0,3-Year,,No,
91282CHT1,2023-10-16,Note,9-Year 10-Month,2023-10-11,2023,2023-08-15T00:00:00,4.61,,,94.231522,4.53,,,,4.47,,,,2.5,92.26,2,87423610000.0,34915937800.0,,84114600.0,12363000000.0,7300390000.0,24166610000.0,21068870000.0,50894000000.0,6546677800.0,0.0,0.0,35000000000.0,35000052400.0,87507724600.0,10-Year,,No,
912810TT5,2023-10-16,Bond,29-Year 10-Month,2023-10-12,2023,2023-08-15T00:00:00,4.837,,,88.806438,4.74,,,,4.65,,,,2.35,22.14,2,46942950000.0,19968020000.0,,31982800.0,6390700000.0,3335700000.0,14376250000.0,13004250000.0,26176000000.0,3628070000.0,0.0,0.0,20000000000.0,20000002800.0,46974932800.0,30-Year,,No,
912810TU2,2023-10-31,Bond,19-Year 10-Month,2023-10-18,2023,2023-08-15T00:00:00,5.245,,,89.352074,5.186,,,,5.1,,,,2.59,79.65,2,33530762000.0,12912887000.0,,87129300.0,3778000000.0,1962912500.0,12229762000.0,9409062000.0,17523000000.0,1540912500.0,0.0,0.0,13000000000.0,13000016300.0,33617891300.0,20-Year,,No,
91282CJE2,2023-10-31,Note,2-Year,2023-10-24,2023,,5.055,,,99.896614,5.01,,,,4.95,,,,2.64,63.46,2,133748750300.0,50334877100.0,,665149800.0,18151000000.0,10231750000.0,46709750300.0,31230612100.0,68888000000.0,8872515000.0,0.0,0.0,51000000000.0,51000026900.0,134413900100.0,2-Year,,No,
91282CJF9,2023-10-31,Note,5-Year,2023-10-25,2023,,4.899,,,99.894701,4.819,,,,4.73,,,,2.36,48.22,2,122746500000.0,51790231000.0,,209796800.0,16785000000.0,9884000000.0,36941500000.0,31856231000.0,69020000000.0,10050000000.0,0.0,0.0,52000000000.0,52000027800.0,122956296800.0,5-Year,,No,
91282CJG7,2023-10-31,Note,7-Year,2023-10-26,2023,,4.908,,,99.806484,4.849,,,,4.78,,,,2.7,92.44,2,102496510000.0,37746850000.0,,253182300.0,13790100000.0,6944820000.0,33146410000.0,26657030000.0,55560000000.0,4145000000.0,0.0,0.0,38000000000.0,38000032300.0,102749692300.0,7-Year,,No,
91282CJK8,2023-11-15,Note,3-Year,2023-11-07,2023,,4.701,,,99.789641,4.649,,,,4.55,,,,2.67,4.28,2,127563600800.0,47505891200.0,,294146500.0,16273000000.0,9090010400.0,40493600800.0,30689600800.0,70797000000.0,7726280000.0,200000000.0,200000000.0,48000000000.0,48913468500.0,128971178100.0,3-Year,,No,
91282CJL6,2023-11-30,Note,2-Year,2023-11-27,2023,,4.887,,,99.977397,4.83,,,,4.788,,,,2.54,70.15,2,136241380000.0,53293742500.0,,706295900.0,19564000000.0,12714000000.0,43855380000.0,30581380000.0,72822000000.0,9998362500.0,0.0,0.0,54000000000.0,54622032900.0,137569670400.0,2-Year,,No,
91282CJN2,2023-11-30,Note,5-Year,2023-11-27,2023,,4.42,,,99.800095,4.365,,,,4.31,,,,2.46,96.29,2,135253890000.0,54800530300.0,,199475300.0,17703000000.0,9663000000.0,42208890000.0,35904265800.0,75342000000.0,9233264500.0,0.0,0.0,55000000000.0,55633518500.0,136086878200.0,5-Year,,No,
91282CJM4,2023-11-30,Note,7-Year,2023-11-28,2023,,4.399,,,99.856744,4.319,,,,4.26,,,,2.44,68.99,2,94903850000.0,38648325000.0,,351689600.0,11200300000.0,6125300000.0,28038550000.0,24680550000.0,55665000000.0,7842475000.0,0.0,0.0,39000000000.0,39449232700.0,95704757700.0,7-Year,,No,
91282CJP7,2023-12-15,Note,3-Year,2023-12-11,2023,,4.49,,,99.680564,4.43,,,,4.36,,,,2.42,73.47,2,120351910000.0,49555200000.0,,244868500.0,17222000000.0,10747000000.0,33621910000.0,25805910000.0,69508000000.0,13002290000.0,200000000.0,200000000.0,50000000000.0,50000068500.0,120796778500.0,3-Year,,No,
91282CJS1,2024-01-02,Note,2-Year,2023-12-26,2023,,4.314,,,99.878444,4.27,,,,4.2,,,,2.68,96.98,2,151955740000.0,56279769100.0,,570289000.0,19329000000.0,10981029100.0,53598740000.0,34811740000.0,79028000000.0,10487000000.0,150000000.0,150000000.0,57000000000.0,57000058100.0,152676029000.0,2-Year,,No,
91282CJR3,2024-01-02,Note,5-Year,2023-12-27,2023,,3.801,,,99.769595,3.75,,,,3.415,,,,2.5,53.18,2,144857438600.0,57821997000.0,,178024100.0,18089000000.0,8880942000.0,50127438600.0,40820055000.0,76641000000.0,8121000000.0,0.0,0.0,58000000000.0,58000021100.0,145035462700.0,5-Year,,No,
91282CJQ5,2024-01-02,Note,7-Year,2023-12-28,2023,,3.859,,,99.336988,3.783,,,,3.5,,,,2.5,76.85,2,99659275000.0,39744046800.0,,255973200.0,12608000000.0,7700236800.0,29532275000.0,25320597500.0,57519000000.0,6723212500.0,0.0,0.0,40000000000.0,40000020000.0,99915248200.0,7-Year,,No,
91282CJT9,2024-01-16,Note,3-Year,2024-01-09,2024,,4.105,,,99.706476,4.065,,,,3.95,,,,2.67,14.89,2,138580060000.0,51612844900.0,,267211900.0,17807000000.0,8692800200.0,43316060000.0,33707542200.0,77457000000.0,9212502500.0,120000000.0,120000000.0,52000000000.0,52000056800.0,138967271900.0,3-Year,,No,
91282CJJ1,2024-01-16,Note,9-Year 10-Month,2024-01-10,2024,2023-11-15T00:00:00,4.024,,,103.823381,3.957,,,,3.9,,,,2.56,44.07,2,94794058000.0,36919215500.0,,80795700.0,11793000000.0,6918000000.0,28315058000.0,24408058000.0,54686000000.0,5593157500.0,0.0,0.0,37000000000.0,37000011200.0,94874853700.0,10-Year,,No,
912810TV0,2024-01-16,Bond,29-Year 10-Month,2024-01-11,2024,2023-11-15T00:00:00,4.229,,,108.773246,4.16,,,,3.88,,,,2.37,25.59,2,49682325000.0,20966180200.0,,33826100.0,6777200000.0,3712937200.0,16007125000.0,14209125000.0,26898000000.0,3044118000.0,0.0,0.0,21000000000.0,21000006300.0,49716151100.0,30-Year,,No,
912810TW8,2024-01-31,Bond,19-Year 10-Month,2024-01-17,2024,2023-11-15T00:00:00,4.423,,,104.269985,4.36,,,,4.3,,,,2.53,5.31,2,32837821000.0,12936321300.0,,63689400.0,4563000000.0,2653000000.0,9927821000.0,8041321000.0,18347000000.0,2242000300.0,0.0,0.0,13000000000.0,13000010700.0,32901510400.0,20-Year,,No,
91282CJV4,2024-01-31,Note,2-Year,2024-01-23,2024,,4.365,,,99.782022,4.31,,,,4.25,,,,2.57,62.75,2,153693045000.0,59460369400.0,,539693200.0,20199000000.0,11815074400.0,52780045000.0,38828045000.0,80714000000.0,8817250000.0,0.0,0.0,60000000000.0,60000062600.0,154232738200.0,2-Year,,No,
91282CJW2,2024-01-31,Note,5-Year,2024-01-24,2024,,4.055,,,99.753334,3.979,,,,3.9,,,,2.31,49.75,2,141001090000.0,60832652500.0,,167411100.0,18519000000.0,11368500000.0,42316090000.0,37070090000.0,80166000000.0,12394062500.0,0.0,0.0,61000000000.0,61000063600.0,141168501100.0,5-Year,,No,
91282CJX0,2024-01-31,Note,7-Year,2024-01-25,2024,,4.109,,,99.342733,4.053,,,,3.99,,,,2.57,44.45,2,105383685000.0,40839822000.0,,160219100.0,13380100000.0,6944100000.0,34838585000.0,28203372000.0,57165000000.0,5692350000.0,0.0,0.0,41000000000.0,41000041100.0,105543904100.0,7-Year,,No,
91282CKA8,2024-02-15,Note,3-Year,2024-02-06,2024,,4.169,,,99.877119,4.13,,,,4.088,,,,2.58,15.7,2,138995920000.0,53644646000.0,,280376200.0,18723000000.0,9836976000.0,45629920000.0,35379670000.0,74643000000.0,8428000000.0,75000000.0,75000000.0,54000000000.0,57993720900.0,143344994900.0,3-Year,,No,
91282CKB6,2024-02-29,Note,2-Year,2024-02-26,2024,,4.691,,,99.875391,4.64,,,,4.55,,,,2.49,72.98,2,156343820000.0,62359886100.0,,640224300.0,21220000000.0,12538119100.0,53429820000.0,40633767000.0,81694000000.0,9188000000.0,0.0,0.0,63000000000.0,65725715600.0,159709649500.0,2-Year,,No,
